id_modismo,modismo,significado,ejemplo,img_1,img_2,img_3,img_4
MULTI_GPT_0011,abrigar,Calentar los alimentos en la estufa.,Le voy a abrigar la arepita para que le sepa más rico.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/bombillo/literal_bombillo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrigar/literal_abrigar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrigar/mixed_abrigar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrigar/figurative_abrigar.png
MULTI_GPT_0012,abrirse,iniciar la pelea los gallos o las personas,"el gallo se abrió inmediatamente. si es tan gallo, ábrase",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse/mixed_abrirse.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/repelente/literal_repelente.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse/figurative_abrirse.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse/literal_abrirse.png
MULTI_GPT_0013,abrirse,"irse, apartarse de una persona o de varias",usted no es bienvenido. ¡ábrase,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/manga_1/figurative_manga_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse_1/literal_abrirse_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse_1/figurative_abrirse_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse_1/mixed_abrirse_1.png
MULTI_GPT_0014,abrirse,"Desistir de un compromiso asumido, especialmente dentro de un grupo.","Vean, hasta ahora colaboré... pero esto se puede transformar en un gran lío en cualquier momento; yo me abro, ustedes hagan lo que quieran.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse_2/figurative_abrirse_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse_2/mixed_abrirse_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse_2/literal_abrirse_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/aplanadora/mixed_aplanadora.png
MULTI_GPT_0015,abrirse,Irse de un lugar.,"No nos venga a engañar otra vez con sus cuentos, ábrase.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse_3/mixed_abrirse_3.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse_3/figurative_abrirse_3.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse_3/literal_abrirse_3.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/anillado_1/literal_anillado_1.png
MULTI_GPT_0016,abrirse,Separarse una pareja.,Después haber intentado la reconciliación por meses decidieron abrirse y coger cada uno por su lado.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse_4/literal_abrirse_4.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse_4/figurative_abrirse_4.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/bracero/mixed_bracero.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse_4/mixed_abrirse_4.png
MULTI_GPT_0017,abrochar,Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes.,"Ponte a hacer la tarea, antes de que alguien llegue y te abroche.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copado/figurative_copado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrochar/figurative_abrochar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrochar/literal_abrochar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrochar/mixed_abrochar.png
MULTI_GPT_0018,abuelita,Cuna portátil para bebé que facilita llevarlo de un sitio a otro.,"Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una abuelita cómoda o un coche portátil tipo paraguas.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abuelita/mixed_abuelita.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abuelita/figurative_abuelita.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/cuadra/figurative_cuadra.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abuelita/literal_abuelita.png
MULTI_GPT_0019,acabado,"Referido a una persona, con aspecto débil y enfermizo.","Si bien se ve acabado físicamente, su voz está intacta. Su intervención duró casi siete horas.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/acabado/mixed_acabado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/acabado/figurative_acabado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/pa%C3%B1ete/mixed_pa%C3%B1ete.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/acabado/literal_acabado.png
MULTI_GPT_0020,acartonado,"Referido a una persona, poco natural en su comportamiento, esquemática.",El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y acartonado.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/acartonado/figurative_acartonado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/acartonado/mixed_acartonado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/acartonado/literal_acartonado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/rucio_1/mixed_rucio_1.png
MULTI_GPT_0021,aceite,Comprobar o evaluar alguien la capacidad de otro sometiéndolo de manera inadvertida a una prueba o situación difícil para determinar el curso posterior de una acción.,Los camioneros le midieron el aceite al nuevo ministro amenazándolo con un paro de transportadores que nunca pensaron llevar a cabo.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/aceite/mixed_aceite.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/aceite/literal_aceite.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/amarrado/literal_amarrado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/aceite/figurative_aceite.png
MULTI_GPT_0022,acelerado,"Referido a una persona, que actúa con precipitud, impaciencia.","Sus amigos dicen que Angelita es muy acelerada, pero que siempre tiene iniciativa y es muy decidida.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/quedado/literal_quedado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/acelerado/figurative_acelerado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/acelerado/literal_acelerado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/acelerado/mixed_acelerado.png
MULTI_GPT_0023,acelere,Afán o rapidez exagerada con que se hace algo.,El acelere de la Administración Municipal conlleva a graves errores en los cálculos de la tributación.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/acelere/literal_acelere.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/cocido/mixed_cocido.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/acelere/mixed_acelere.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/acelere/figurative_acelere.png
MULTI_GPT_0024,achicar,Extraer el agua que se mete en las embarcaciones al navegar.,"Mijo, ayúdeme a achicar la champa para que no se nos hunda.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/achicar/literal_achicar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/tostado/literal_tostado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/achicar/mixed_achicar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/achicar/figurative_achicar.png
MULTI_GPT_0025,achicar,Amarrar a un animal arisco para calmarlo o sacrificarlo.,"Se achica la vaca para el sacrificio, se ordeña, se aprende y se canta.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/achicar_1/figurative_achicar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/poner_conejo/figurative_poner_conejo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/achicar_1/mixed_achicar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/achicar_1/literal_achicar_1.png
MULTI_GPT_0026,achicar,"En el fútbol, reducir el campo de acción de un jugador impiendo que llegue a la valla contraria o que se haga una jugada peligrosa.","Recuperar el balón por anticipación, sin olvidar el principio básico de la defensa, que es achicar la cancha y proteger el centro.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/achicar_2/mixed_achicar_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/mandar_2/literal_mandar_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/achicar_2/literal_achicar_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/achicar_2/figurative_achicar_2.png
MULTI_GPT_0027,afiebrado,"Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo.",El New York Times destaca que colombianos son los más 'afiebrados' por su selección de fútbol.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copia/mixed_copia.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afiebrado/figurative_afiebrado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afiebrado/literal_afiebrado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afiebrado/mixed_afiebrado.png
MULTI_GPT_0028,afilado,"Referido a una persona, bien preparada para una prueba o examen.",Estudiamos en grupos y llegamos a presentar bien afiladas el examen final que tanto nos preocupaba.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afilado/mixed_afilado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afilado/figurative_afilado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afilado/literal_afilado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/mona_2/literal_mona_2.png
MULTI_GPT_0029,afrijolar,Endosarle un trabajo difícil a una persona.,Me afrijolaron dos horas más de trabajo y sin ninguna compensación.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afrijolar/mixed_afrijolar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afrijolar/literal_afrijolar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afrijolar/figurative_afrijolar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/rendir/figurative_rendir.png
MULTI_GPT_0030,afrijolar,endosar obligaciones o responsabilidades en forma indebida,"me afrijoló la deuda, la culpa",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afrijolar_1/literal_afrijolar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/empastelado/literal_empastelado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afrijolar_1/figurative_afrijolar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afrijolar_1/mixed_afrijolar_1.png
MULTI_GPT_0031,afrijolar,comer un alimento con avidez,se afrijoló un tamal,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afrijolar_2/mixed_afrijolar_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afrijolar_2/literal_afrijolar_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abuelita/mixed_abuelita.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afrijolar_2/figurative_afrijolar_2.png
MULTI_GPT_0032,afrijolar,Propinar un golpe.,En medio del relajo le afrijolaron dos pepazos en la cabeza y por eso expulsaron al culpable.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afrijolar_3/figurative_afrijolar_3.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afrijolar_3/literal_afrijolar_3.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/afrijolar_3/mixed_afrijolar_3.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/champ%C3%BA_1/mixed_champ%C3%BA_1.png
MULTI_GPT_0033,agache,Evadir con astucia un problema o un asunto pendiente.,Lo preocupante fue que en la noticia publicada pasaron de agache que la pobreza extrema prácticamente se mantuvo inalterada.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/agache/mixed_agache.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/agache/literal_agache.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/agache/figurative_agache.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/mangazo/figurative_mangazo.png
MULTI_GPT_0034,agalla, Despertársele el afán de poseer más de algo o de adquirir riquezas.,"Creo que se precipitó o se le abrió la agalla, se hubiera esperado un año más y hubiera ganado más dinero.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/agalla/literal_agalla.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/agalla/mixed_agalla.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/agalla/figurative_agalla.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/guajibo/figurative_guajibo.png
MULTI_GPT_0035,agarrar,Producir su efecto de embriaguez una bebida alcohólica.,"Cuando sentí que los primeros traguitos de aguardiente comenzaron a agarrarme, me levanté de la mesa y busqué algo de comer.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/emparejada/mixed_emparejada.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/agarrar/mixed_agarrar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/agarrar/figurative_agarrar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/agarrar/literal_agarrar.png
