id_modismo,modismo,significado,ejemplo,img_1,img_2,img_3,img_4,
MULTI_GEMINI_0011,abrigar,Calentar los alimentos en la estufa.,Le voy a abrigar la arepita para que le sepa más rico.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/bolo/literal_bolo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrigar/literal_abrigar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrigar/mixed_abrigar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrigar/figurative_abrigar.png,
MULTI_GEMINI_0012,abrirse,iniciar la pelea los gallos o las personas,"el gallo se abrió inmediatamente. si es tan gallo, ábrase",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse/mixed_abrirse.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/recostarse/literal_recostarse.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse/figurative_abrirse.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse/literal_abrirse.png,
MULTI_GEMINI_0013,abrirse,"irse, apartarse de una persona o de varias",usted no es bienvenido. ¡ábrase,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/madrear/figurative_madrear.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse_1/literal_abrirse_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse_1/figurative_abrirse_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse_1/mixed_abrirse_1.png,
MULTI_GEMINI_0014,abrirse,"Desistir de un compromiso asumido, especialmente dentro de un grupo.","Vean, hasta ahora colaboré... pero esto se puede transformar en un gran lío en cualquier momento; yo me abro, ustedes hagan lo que quieran.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse_2/figurative_abrirse_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse_2/mixed_abrirse_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse_2/literal_abrirse_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/aparecido/mixed_aparecido.png,
MULTI_GEMINI_0015,abrirse,Irse de un lugar.,"No nos venga a engañar otra vez con sus cuentos, ábrase.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse_3/mixed_abrirse_3.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse_3/figurative_abrirse_3.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse_3/literal_abrirse_3.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/andar/literal_andar.png,
MULTI_GEMINI_0016,abrirse,Separarse una pareja.,Después haber intentado la reconciliación por meses decidieron abrirse y coger cada uno por su lado.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse_4/literal_abrirse_4.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse_4/figurative_abrirse_4.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/botar_4/mixed_botar_4.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrirse_4/mixed_abrirse_4.png,
MULTI_GEMINI_0017,abrochar,Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes.,"Ponte a hacer la tarea, antes de que alguien llegue y te abroche.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/componer/figurative_componer.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrochar/figurative_abrochar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrochar/literal_abrochar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrochar/mixed_abrochar.png,
MULTI_GEMINI_0018,abuelita,Cuna portátil para bebé que facilita llevarlo de un sitio a otro.,"Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una abuelita cómoda o un coche portátil tipo paraguas.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abuelita/mixed_abuelita.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abuelita/figurative_abuelita.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/corrientazo/figurative_corrientazo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abuelita/literal_abuelita.png,
MULTI_GEMINI_0019,acabado,"Referido a una persona, con aspecto débil y enfermizo.","Si bien se ve acabado físicamente, su voz está intacta. Su intervención duró casi siete horas.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/acabado/mixed_acabado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/acabado/figurative_acabado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/pasar/mixed_pasar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/acabado/literal_acabado.png,
MULTI_GEMINI_0020,acartonado,"Referido a una persona, poco natural en su comportamiento, esquemática.",El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y acartonado.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/acartonado/figurative_acartonado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/acartonado/mixed_acartonado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/acartonado/literal_acartonado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/repuesto/mixed_repuesto.png,
MULTI_GEMINI_0021,aceite,Comprobar o evaluar alguien la capacidad de otro sometiéndolo de manera inadvertida a una prueba o situación difícil para determinar el curso posterior de una acción.,Los camioneros le midieron el aceite al nuevo ministro amenazándolo con un paro de transportadores que nunca pensaron llevar a cabo.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/aceite/mixed_aceite.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/aceite/literal_aceite.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/amansar/literal_amansar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/aceite/figurative_aceite.png,
MULTI_GEMINI_0022,acelerado,"Referido a una persona, que actúa con precipitud, impaciencia.","Sus amigos dicen que Angelita es muy acelerada, pero que siempre tiene iniciativa y es muy decidida.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/prender_3/literal_prender_3.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/acelerado/figurative_acelerado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/acelerado/literal_acelerado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/acelerado/mixed_acelerado.png,
MULTI_GEMINI_0023,acelere,Afán o rapidez exagerada con que se hace algo.,El acelere de la Administración Municipal conlleva a graves errores en los cálculos de la tributación.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/acelere/literal_acelere.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/claridoso/mixed_claridoso.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/acelere/mixed_acelere.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/acelere/figurative_acelere.png,
MULTI_GEMINI_0024,achicar,Extraer el agua que se mete en las embarcaciones al navegar.,"Mijo, ayúdeme a achicar la champa para que no se nos hunda.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/achicar/literal_achicar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/timbrar/literal_timbrar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/achicar/mixed_achicar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/achicar/figurative_achicar.png,
MULTI_GEMINI_0025,achicar,Amarrar a un animal arisco para calmarlo o sacrificarlo.,"Se achica la vaca para el sacrificio, se ordeña, se aprende y se canta.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/achicar_1/figurative_achicar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/plagiario/figurative_plagiario.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/achicar_1/mixed_achicar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/achicar_1/literal_achicar_1.png,
MULTI_GEMINI_0026,achicar,"En el fútbol, reducir el campo de acción de un jugador impiendo que llegue a la valla contraria o que se haga una jugada peligrosa.","Recuperar el balón por anticipación, sin olvidar el principio básico de la defensa, que es achicar la cancha y proteger el centro.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/achicar_2/mixed_achicar_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/macho/literal_macho.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/achicar_2/literal_achicar_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/achicar_2/figurative_achicar_2.png,
MULTI_GEMINI_0027,afiebrado,"Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo.",El New York Times destaca que colombianos son los más 'afiebrados' por su selección de fútbol.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/compuesto/mixed_compuesto.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afiebrado/figurative_afiebrado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afiebrado/literal_afiebrado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afiebrado/mixed_afiebrado.png,
MULTI_GEMINI_0028,afilado,"Referido a una persona, bien preparada para una prueba o examen.",Estudiamos en grupos y llegamos a presentar bien afiladas el examen final que tanto nos preocupaba.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afilado/mixed_afilado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afilado/figurative_afilado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afilado/literal_afilado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/mercado/literal_mercado.png,
MULTI_GEMINI_0029,afrijolar,Endosarle un trabajo difícil a una persona.,Me afrijolaron dos horas más de trabajo y sin ninguna compensación.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afrijolar/mixed_afrijolar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afrijolar/literal_afrijolar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afrijolar/figurative_afrijolar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/recorrido/figurative_recorrido.png,
MULTI_GEMINI_0030,afrijolar,endosar obligaciones o responsabilidades en forma indebida,"me afrijoló la deuda, la culpa",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afrijolar_1/literal_afrijolar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/duro_2/literal_duro_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afrijolar_1/figurative_afrijolar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afrijolar_1/mixed_afrijolar_1.png,
MULTI_GEMINI_0031,afrijolar,comer un alimento con avidez,se afrijoló un tamal,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afrijolar_2/mixed_afrijolar_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afrijolar_2/literal_afrijolar_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abuelita/mixed_abuelita.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afrijolar_2/figurative_afrijolar_2.png,
MULTI_GEMINI_0032,afrijolar,Propinar un golpe.,En medio del relajo le afrijolaron dos pepazos en la cabeza y por eso expulsaron al culpable.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afrijolar_3/figurative_afrijolar_3.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afrijolar_3/literal_afrijolar_3.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/afrijolar_3/mixed_afrijolar_3.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/ca%C3%B1o/mixed_ca%C3%B1o.png,
MULTI_GEMINI_0033,agache,Evadir con astucia un problema o un asunto pendiente.,Lo preocupante fue que en la noticia publicada pasaron de agache que la pobreza extrema prácticamente se mantuvo inalterada.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agache/mixed_agache.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agache/literal_agache.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agache/figurative_agache.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/mal_de_ojo/figurative_mal_de_ojo.png,
MULTI_GEMINI_0034,agalla, Despertársele el afán de poseer más de algo o de adquirir riquezas.,"Creo que se precipitó o se le abrió la agalla, se hubiera esperado un año más y hubiera ganado más dinero.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agalla/literal_agalla.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agalla/mixed_agalla.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agalla/figurative_agalla.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/gente/figurative_gente.png,
MULTI_GEMINI_0035,agarrar,Producir su efecto de embriaguez una bebida alcohólica.,"Cuando sentí que los primeros traguitos de aguardiente comenzaron a agarrarme, me levanté de la mesa y busqué algo de comer.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/duro_1/mixed_duro_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agarrar/mixed_agarrar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agarrar/figurative_agarrar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agarrar/literal_agarrar.png,
MULTI_GEMINI_0036,agarrar,"Obtener o conseguir algo, especialmente de manera veloz, ágil.","Fue Tránsito Ariza la que agarró la ocasión al vuelo y mandó a la viuda para el dormitorio del hijo, con el pretexto de que en el suyo no había lugar.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agarrar_1/mixed_agarrar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agarrar_1/figurative_agarrar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/casino/literal_casino.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agarrar_1/literal_agarrar_1.png,
MULTI_GEMINI_0037,agarrar,Tomar o iniciar un camino o ruta.,Mi esposa me dijo que nos hiciéramos un fiambre bien sabroso y agarráramos camino para cualquier parte para comérnoslo.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agarrar_2/figurative_agarrar_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/colorete/mixed_colorete.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agarrar_2/literal_agarrar_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agarrar_2/mixed_agarrar_2.png,
MULTI_GEMINI_0038,agarrón,"Altercado, riña muy fuerte o pelea a golpes.",El agarrón se filtró a los medios y al otro día era la comidilla de las crónicas políticas.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agarr%C3%B3n/literal_agarr%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agarr%C3%B3n/figurative_agarr%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/garra_2/figurative_garra_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/agarr%C3%B3n/mixed_agarr%C3%B3n.png,
