id_modismo,modismo,significado,image
SINGLE_0019,acabose,Acontecimiento irreparable o con el que se llega al extremo de una situación negativa.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acabose.png
SINGLE_0020,acatar,caer en la cuenta,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acatar.png
SINGLE_0021,accesar,Tener acceso a los datos de un sistema informático.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_accesar.png
SINGLE_0022,achacado,"Referido a una persona, enferma o débil, especialmente por problemas asociados con la vejez.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achacado.png
SINGLE_0023,achajuanado,"Referido a una persona o un animal, sofocado por el calor o el trabajo excesivo.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achajuanado.png
SINGLE_0024,achantada,"- Depresión, abatimiento.
- Sensación de humillación.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achantada.png
SINGLE_0025,achantado,"Referdio a una persona, triste, desencantado.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achantado.png
SINGLE_0026,achante,"Depresión, abatimiento.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achante.png
SINGLE_0027,achapado,"Referido a una persona, avara, tacaña.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achapado.png
SINGLE_0028,achicopalado,"Referido a una persona, triste, desencantado.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achicopalado.png
SINGLE_0029,achicopalar,"Atemorizarse, intimidarse, asumir la posición menos comprometida frente a un problema o asunto.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achicopalar.png
SINGLE_0030,achilado,"- Referido al cabello o a las plantas, deteriorados o sin la vitalidad que deberían mostrar.
- Referido a una persona, triste, desencantada.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achilado.png
SINGLE_0031,achilar,"- Perder algo la apariencia de vitalidad que debería tener, especialmente el pelo y las plantas.
- Sentir vergüenza o intimidarse por algo.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achilar.png
SINGLE_0032,achiquitar,Hacer que algo sea más pequeño de lo normal.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achiquitar.png
SINGLE_0033,achucado,"Referido a una persona, atragantado o que tiene dificultades para respirar ya sea por la comida, por enfermedad o por una aspiración.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achucado.png
SINGLE_0034,achucarse,"Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achucarse.png
SINGLE_0035,achucutarse,"- acurrucarse
- acobardarse, sentir miedo",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_achucutarse.png
SINGLE_0036,acobalar,Devolver la simetría a algo que estaba torcido.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acobalar.png
SINGLE_0037,acolitar,Encubrir a quien hace algo ilícito.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acolitar.png
SINGLE_0038,acomedido,"dicho de una persona, servicial",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acomedido.png
SINGLE_0039,acomedirse,"ayudar, colaborar en algo",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acomedirse.png
SINGLE_0040,aconductado,de buena conducta,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aconductado.png
SINGLE_0041,acose,Persecusión o presión causada por la insistencia de alguien.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acose.png
SINGLE_0042,acosón,"Referido a una persona, que acostumbra presionar a los demás.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acos%C3%B3n.png
SINGLE_0043,acotejar,"- Favorecer o proteger por negligencia o descuido actitudes o acciones cuestionables.
- Acomodar, disponer en orden una serie de objetos en un espacio o lugar",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acotejar.png
SINGLE_0044,acuacultura,Técnica empleada para el cultivo de especies vegetales y animales acuáticas.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acuacultura.png
SINGLE_0045,acudiente,"Persona mayor de edad, generalmente familiar o amigo, que se hace responsable de un estudiante ante las directivas de una institución escolar.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acudiente.png
SINGLE_0046,acuerpado,"- Referido a una persona, grande, robusta.
- corpulento, bien desarrollado, voluminoso",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acuerpado.png
SINGLE_0047,aculillarse,"- Atemorizarse o acobardarse alguien ante una situación.
- sentir miedo por algo",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aculillarse.png
SINGLE_0048,acusaletas,"Referido a una persona, que tiene por costumbre acusar a otros.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acusaletas.png
SINGLE_0049,acusetas,"Referido a una persona, que tiene por costumbre acusar a otros.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acusetas.png
SINGLE_0050,acápite,"En un escrito legal, fragmento que aclara o especifica algún aspecto de una ley o un decreto.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ac%C3%A1pite.png
SINGLE_0051,ademanoso,"Referido a una persona, que se niega a ejecutar una labor, ya sea por la fuerza que implica o el esfuerzo.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ademanoso.png
SINGLE_0052,afanar,Preocuparse o angustiarse ante una situación.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_afanar.png
SINGLE_0053,aflojachochas,Bebida alcohólica que desinhibe el deseo sexual.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aflojachochas.png
SINGLE_0054,aforar,"Referido al equipaje o a un producto, calcular su cantidad y su valor.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aforar.png
SINGLE_0055,afugias,"afanes, prisa",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_afugias.png
SINGLE_0056,agallinado,acobardado,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_agallinado.png
SINGLE_0057,agalludo,"Referido a una persona, ambiciosa, que siempre busca obtener más de lo que sería justo.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_agalludo.png
SINGLE_0058,agria,Cerveza.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_agria.png
SINGLE_0059,agrieras,Acidez estomacal.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_agrieras.png
SINGLE_0060,agringarse,Adoptar los hábitos o el aspecto propios de un gringo.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_agringarse.png
SINGLE_0061,agripado,"Referido a una persona, enferma de gripa.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_agripado.png
SINGLE_0062,agriparse,Contagiarse y padecer de la gripa.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_agriparse.png
SINGLE_0063,agua,Preparar más comida de lo usual por si llegan más personas de las previstas.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_agua.png
SINGLE_0064,aguacatado,"Persona aburrida, que no gusta de las fiestas.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguacatado.png
SINGLE_0065,aguacatarse,"Referido a una persona, intimidarse, asumir la posición menos comprometida frente a un problema o asunto.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguacatarse.png
SINGLE_0066,aguacate,Agente de la policía.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguacate.png
SINGLE_0067,aguacero,Llover fuertemente.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguacero.png
SINGLE_0068,aguachento,"Referido a la consistencia de algo, acuosa o con exceso de agua, especialmente la textura de los alimentos.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguachento.png
SINGLE_0069,aguadijiar,manar de una herida un humor claro como el agua,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguadijiar.png
SINGLE_0070,aguado,"Referido a una sustancia, especialmente un alimento, con más agua o líquido del que debería tener y por tanto insípida.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguado.png
SINGLE_0071,aguaguado,"Referido a un niño o adolescente, consentido o que se comporta de manera infantil.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguaguado.png
SINGLE_0072,aguaitar,"- Observar y esperar a alguien o algo con cautela y disimulo.
- espiar
- esperar a alguien",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguaitar.png
SINGLE_0073,aguaje,Estela sobre la superficie del agua que dejan los peces al pasar.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguaje.png
SINGLE_0074,aguallevame,"Referido a una persona, que se deja influenciar por otros.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguallevame.png
SINGLE_0075,aguamasa,Mezcla de residuos orgánicos de alimentos que sirve para alimentar a los cerdos.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguamasa.png
SINGLE_0076,aguamiel,Mezcla de agua con panela o con el jugo de la caña cocinado.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguamiel.png
SINGLE_0077,aguamil,Lavamanos.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguamil.png
SINGLE_0078,aguanga,"telar indígena antiquísimo, posiblemente de procedencia incaica",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguanga.png
SINGLE_0079,aguanoso,"Referido a un tubérculo, especialmente a la yuca, que adquiere una consistencia cristalina después de cocinada.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguanoso.png
SINGLE_0080,aguantador,"Referido a una persona o a algo, que resiste un esfuerzo físico o un deterioro.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguantador.png
SINGLE_0081,aguantar,"Referido a una persona, que tiene afán o poco tiempo para esperar por alguien o por algo.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguantar.png
SINGLE_0082,aguarapar,"Referido a la caña de azúcar o a una fruta, adquirir el sabor y la consistencia del guarapo.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguarapar.png
SINGLE_0083,aguardientoso,"Referido a una persona, que tiene voz ronca y áspera.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguardientoso.png
SINGLE_0084,aguarse,Llenarse de lágrimas los ojos de alguien a causa de una emoción.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguarse.png
SINGLE_0085,aguasal,"Caldo hecho a base de cebolla, sal, huevo y, en ocasiones, tomate y cilantro.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguasal.png
SINGLE_0086,aguatero,"En una competencia, especialmente en un partido de fútbol, persona que abastece de agua a los jugadores.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguatero.png
SINGLE_0087,aguatudo,"Río crecido que, por mezclarse con el material de su cauce, se torna espeso y de color arcilloso.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguatudo.png
SINGLE_0088,aguijar,Incitar a un perro para que ataque.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguijar.png
SINGLE_0089,aguinaldo,"- Dinero adicional que recibe un empleado a final de año.
- Juegos variados que se hacen en la temporada navideña, generalmente del 16 al 24 de diciembre, donde el jugador que acumule más puntos recibe un premio.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_aguinaldo.png
SINGLE_0090,agüerista,"Referido a una persona, que cree ciegamente en los agüeros.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ag%C3%BCerista.png
SINGLE_0091,agüero,De una vez y sin pensarlo tanto.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ag%C3%BCero.png
SINGLE_0092,agüevarse,"- acobardarse
- apendejarse",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ag%C3%BCevarse.png
SINGLE_0093,ahijuelita,expresión que manifiesta sorpresa o desagrado o cualquier impresión repentina,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ahijuelita.png
SINGLE_0094,ahorita,"- En un momento, no de inmediato.
- En este mismo momento o en este periodo de tiempo.
- Hace un momento, hace un rato.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ahorita.png
SINGLE_0095,ahoritica,"ahora, hace un momento",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ahoritica.png
SINGLE_0096,ahuevado,"- Intimidado, acobardado.
- Tonto, que actúa con poca inteligencia o poco entendimiento.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ahuevado.png
SINGLE_0097,ahuevar,"- Desanimarse o acobardarse.
- Actuar con poca inteligencia o poco entendimiento.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ahuevar.png
SINGLE_0098,ahuevonar,Acobardarse o desanimarse.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ahuevonar.png
SINGLE_0099,ajicero,"Conserva que se prepara con ají, cebolla y pimentón sazonados con pimienta, orégano y otras especias.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ajicero.png
SINGLE_0100,ajicie,"Afición causada por algo nuevo, un objeto o actividad.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ajicie.png
SINGLE_0101,ajonjolear,"- tratar a alguien con especial cariño y consideración
- sacudir, vapulear",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_ajonjolear.png
SINGLE_0102,al bagazo poco caso,denota la poca importancia que debe darse a lo que dice o hace una persona de poco valor,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_al_bagazo_poco_caso.png
SINGLE_0103,al que es maletero viejo no le falta qué cargar,proverbio con el que se expresa que la persona de experiencia siempre tiene ocupación,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_al_que_es_maletero_viejo_no_le_falta_qu%C3%A9_cargar.png
SINGLE_0104,"al que no quiere caldo, se le dan dos tazas",se dice cuando alguien se ve obligado a hacer o padecer precisamente lo que no deseaba,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_al_que_no_quiere_caldo__se_le_dan_dos_tazas.png
SINGLE_0105,alambique,Lugar clandestino en el que se fabrica aguardiente.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alambique.png
SINGLE_0106,alambre dulce,Alambre delgado y muy flexible que se usa en las manualidades.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alambre_dulce.png
SINGLE_0107,alargue,"En algunos deportes, como el fútbol, tiempo extra que se juega después de la finalización del partido, en caso de empate en el marcador.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alargue.png
SINGLE_0108,alberca,Depósito de agua del lavadero de una casa.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alberca.png
SINGLE_0109,albirisco,"Referido a una persona, que está alborotada o exaltada.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_albirisco.png
SINGLE_0110,alborotista,"persona dada a ocasionar ruido, desorden, disturbios",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alborotista.png
SINGLE_0111,alboroto,Golosina redonda que se forma bañando maíz pira o millo con melao de panela o miel.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alboroto.png
SINGLE_0112,alcabala,Retén o puesto de vigilancia que hay en las carreteras o fronteras.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alcabala.png
SINGLE_0113,alcahueta,"Persona permisiva, que consiente o mima exageradamente a otra.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alcahueta.png
SINGLE_0114,alcanzamiento,"Alimento hecho a base de arroz preparado en caldo de carne, con alverja, maíz y hogao que se envuelve en hojas de plátano.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alcanzamiento.png
SINGLE_0115,alcayata,"- Gancho metálico que se fija en la pared y del cual se amarra cada uno de los lazos de la hamaca.
- repisa donde se coloca la vela",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alcayata.png
SINGLE_0116,alcuza,"vasija de varios materiales, de forma esférica, cuello largo, estrecho y cilíndrico con pico y tapa ajustada que se usa para guardar algo comestible",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alcuza.png
SINGLE_0117,alebrestado,"alborotado, agitado",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alebrestado.png
SINGLE_0118,alebrestar,"Perturbar, alterar los nervios o alborotar a una persona o a un animal.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alebrestar.png
SINGLE_0119,alebrestarse,"dicho de una persona o animal, alborotarse, alterarse",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_alebrestarse.png
